,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
6,1959.0,2.0,24.0,11.0,20.0,54.39,6.0,19.626451065561536,-155.17186926388203,11.282745799478056,3.4
7,1959.0,2.0,24.0,11.0,24.0,49.99,7.0,19.61717939470895,-155.16815278399255,25.65767985745194,2.7
8,1959.0,2.0,24.0,11.0,24.0,54.83,8.0,19.63950562956544,-155.17939934683224,27.244663610511186,2.6
9,1959.0,2.0,24.0,17.0,48.0,42.28,9.0,19.630194269639688,-155.16887223156442,36.121644074055794,3.1
16,1959.0,3.0,21.0,17.0,17.0,27.05,16.0,19.321734092921563,-155.85897696269836,10.271798086056926,2.9
20,1959.0,4.0,14.0,11.0,40.0,54.57,20.0,19.573088882359016,-155.18672818487678,5.01947589100776,2.5
22,1959.0,4.0,21.0,21.0,41.0,17.34,22.0,19.73928086254457,-155.17205674369205,10.096653020159511,2.5
23,1959.0,4.0,21.0,21.0,47.0,49.2,23.0,19.72427755195985,-155.14821420316477,16.835428799608138,2.6
24,1959.0,4.0,21.0,22.0,0.0,47.29,24.0,19.714969298817635,-155.17575781381518,13.117535762894208,2.6
26,1959.0,4.0,30.0,13.0,35.0,10.51,26.0,19.65534184052748,-155.20181392842937,6.332735795306871,2.7
28,1959.0,5.0,5.0,3.0,47.0,21.16,28.0,19.743011632388868,-155.16051116694413,2.9498171748152195,3.7
29,1959.0,5.0,5.0,4.0,7.0,33.11,29.0,19.75744257122552,-155.1518835743038,10.413203514612844,3.5
31,1959.0,5.0,11.0,18.0,12.0,43.47,31.0,19.753225865546767,-155.15682044948218,21.95469013238352,3.0
32,1959.0,5.0,14.0,13.0,29.0,22.32,32.0,19.77414661150103,-155.18535430539194,19.558265999763023,2.5
33,1959.0,5.0,15.0,17.0,38.0,4.03,33.0,19.78072700653272,-155.1213247914065,6.907017618804144,2.7
35,1959.0,5.0,24.0,4.0,20.0,13.89,35.0,19.733389211370337,-155.25823422369132,4.131927475844712,2.6
36,1959.0,5.0,24.0,5.0,54.0,0.37,36.0,19.75328975945504,-155.2798225146612,5.277093638119339,2.6
40,1959.0,5.0,30.0,8.0,34.0,6.78,40.0,19.755461910491483,-155.14870165539904,41.29553443409636,2.5
43,1959.0,6.0,13.0,0.0,49.0,38.14,43.0,19.81221721841533,-155.4537009544714,4.012223273351426,3.0
44,1959.0,6.0,13.0,0.0,49.0,52.36,44.0,19.816445969313666,-155.45763306340692,24.06701302054264,2.8
45,1959.0,6.0,14.0,22.0,7.0,13.26,45.0,19.77592750504208,-155.46003035175522,32.173369494752464,2.6
46,1959.0,6.0,14.0,22.0,20.0,55.27,46.0,19.75760900104236,-155.4661350539372,5.061791781353646,2.6
47,1959.0,6.0,18.0,14.0,55.0,16.91,47.0,19.556925037787167,-154.97210514256972,26.357599488031926,2.8
48,1959.0,6.0,18.0,23.0,35.0,8.83,48.0,19.757259019337003,-155.47407610584858,10.427282917583971,3.6
49,1959.0,6.0,19.0,17.0,27.0,41.19,49.0,19.7445171682647,-155.3150054413167,20.35009933141117,2.5
50,1959.0,6.0,19.0,18.0,9.0,1.26,50.0,19.748530955865963,-155.313098069367,43.695178183124376,2.7
52,1959.0,6.0,21.0,23.0,12.0,58.87,52.0,19.55674768993252,-154.98197734189733,26.15971659217424,2.6
53,1959.0,6.0,21.0,23.0,19.0,59.62,53.0,19.560297947668865,-154.9799812807928,42.77736465617608,2.7
54,1959.0,6.0,22.0,0.0,59.0,54.36,54.0,19.55264288896576,-154.97553435501297,24.780693180834405,2.5
