,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
0,1959.0,1.0,20.0,12.0,34.0,33.9,0.0,19.403734113365832,-155.06708082777186,21.772590466769177,2.9
1,1959.0,1.0,23.0,8.0,31.0,0.22,1.0,19.181027186622146,-155.6661011956325,4.270660333523862,2.5
2,1959.0,1.0,24.0,10.0,9.0,9.46,2.0,19.27095404103209,-155.5982524421262,4.829517433548535,2.5
3,1959.0,2.0,6.0,18.0,14.0,33.48,3.0,19.89359030494026,-155.84435438907252,41.40138000486039,2.5
4,1959.0,2.0,15.0,11.0,59.0,10.76,4.0,19.0130730423396,-155.6290812839291,39.52206490978606,3.2
5,1959.0,2.0,24.0,11.0,17.0,44.8,5.0,19.610904405467004,-155.16579894587784,1.2507903677966912,3.9
10,1959.0,2.0,28.0,0.0,12.0,17.15,10.0,19.373490239991888,-155.67702564938014,42.17817243779223,3.4
11,1959.0,3.0,2.0,3.0,40.0,3.87,11.0,19.373956432606285,-154.98457387321002,29.096386432380243,2.6
12,1959.0,3.0,6.0,21.0,39.0,39.73,12.0,19.10367040229985,-155.749765157032,6.36589527623811,2.5
13,1959.0,3.0,17.0,21.0,0.0,57.99,13.0,20.004305680806286,-155.41833244006304,27.373826386435248,3.2
14,1959.0,3.0,21.0,12.0,22.0,31.36,14.0,19.841555264102148,-155.51387256204688,16.197475446513835,3.1
15,1959.0,3.0,21.0,16.0,50.0,49.54,15.0,19.32123690377073,-155.8604235448355,39.23990650484844,3.1
17,1959.0,4.0,4.0,10.0,4.0,50.44,17.0,19.3345100000796,-155.39826243435311,44.37285643077535,2.7
18,1959.0,4.0,9.0,6.0,32.0,17.26,18.0,19.21594243095915,-155.8616607709631,39.11198974759979,2.8
19,1959.0,4.0,14.0,11.0,16.0,12.98,19.0,19.585005013918227,-155.18647502077798,22.84159904474549,3.5
21,1959.0,4.0,21.0,21.0,40.0,33.24,21.0,19.727531569096712,-155.1717930317185,41.076553786575175,3.8
25,1959.0,4.0,30.0,13.0,24.0,41.78,25.0,19.646475582223992,-155.19230565933188,1.569515980557755,3.5
27,1959.0,5.0,5.0,3.0,37.0,45.76,27.0,19.75487590458712,-155.15729358373218,41.29747017679975,3.5
30,1959.0,5.0,9.0,19.0,49.0,22.87,30.0,19.55845778265342,-154.99111682323434,13.158934256162956,2.9
34,1959.0,5.0,18.0,7.0,15.0,51.81,34.0,19.22119956129109,-155.7544820423825,17.128333953661343,3.1
37,1959.0,5.0,26.0,7.0,58.0,44.75,37.0,19.128673872133792,-155.75350819002534,21.538441636851264,2.5
38,1959.0,5.0,29.0,14.0,9.0,36.67,38.0,19.68146040008352,-155.33730329529894,11.890052755217509,2.7
39,1959.0,5.0,29.0,20.0,53.0,49.19,39.0,20.049305982875616,-155.63989998551295,42.416667797179294,2.5
41,1959.0,6.0,1.0,0.0,50.0,10.84,41.0,19.846370351755333,-155.56443697491684,9.977834503162464,2.8
