,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
0,1959.0,1.0,3.0,18.0,47.0,35.59,0.0,19.589247569382632,-155.24245373757392,23.507771150616616,2.5
1,1959.0,1.0,4.0,9.0,52.0,46.32,1.0,19.170708351354605,-155.65902165171124,1.9107597555711053,3.1
2,1959.0,1.0,6.0,3.0,1.0,36.63,2.0,19.640796510540408,-155.47063412794762,22.36077617305481,2.9
3,1959.0,1.0,6.0,3.0,2.0,37.92,3.0,19.637720200694297,-155.4603823745735,37.40346177355001,2.7
4,1959.0,1.0,8.0,13.0,15.0,17.51,4.0,19.284379530133787,-155.24764181271112,3.6815309588968432,2.6
5,1959.0,1.0,20.0,4.0,7.0,6.15,5.0,19.723010105094684,-155.07690837150062,5.793961219722207,2.8
6,1959.0,1.0,23.0,1.0,15.0,52.7,6.0,19.54292062181761,-155.1359418689592,38.19643327906156,2.6
7,1959.0,1.0,25.0,4.0,31.0,32.09,7.0,20.01954882579189,-155.48384667154266,3.088767348992598,2.6
8,1959.0,1.0,25.0,20.0,42.0,31.88,8.0,20.023944721754663,-155.4648770564279,6.875144255636471,2.6
9,1959.0,1.0,31.0,12.0,14.0,25.95,9.0,19.60639892028327,-155.371900869506,1.284757270844716,2.8
10,1959.0,2.0,1.0,0.0,25.0,3.74,10.0,19.278878425467425,-155.2422415589974,26.54422229781116,3.4
11,1959.0,2.0,2.0,1.0,38.0,40.51,11.0,19.79795814494676,-155.2467939812749,34.74182566510423,3.3
12,1959.0,2.0,2.0,20.0,7.0,48.23,12.0,19.10339710907889,-155.6818431885257,17.595443682179628,2.5
13,1959.0,2.0,4.0,8.0,41.0,7.85,13.0,19.69903692211023,-155.5589937291237,4.299390197215753,4.9
14,1959.0,2.0,4.0,8.0,42.0,5.37,14.0,19.71542762506254,-155.5792554860362,13.682768274055832,3.4
15,1959.0,2.0,4.0,8.0,43.0,44.95,15.0,19.70100058236967,-155.54963016028535,33.05410736234136,2.8
16,1959.0,2.0,4.0,8.0,48.0,9.69,16.0,19.66756215815948,-155.57520564720255,13.316144519887516,3.2
17,1959.0,2.0,4.0,8.0,50.0,35.22,17.0,19.67396584046181,-155.46202664202204,13.119797979316406,2.9
18,1959.0,2.0,4.0,8.0,57.0,23.66,18.0,19.70502208588981,-155.59063212157812,15.360788668947059,2.7
19,1959.0,2.0,4.0,9.0,24.0,13.32,19.0,19.70784107318209,-155.56043756443842,35.83157134779692,2.5
20,1959.0,2.0,4.0,9.0,55.0,51.5,20.0,19.66321567119289,-155.57869896695308,31.942669757904483,2.9
21,1959.0,2.0,4.0,9.0,56.0,55.15,21.0,19.667015201849107,-155.56432896310838,16.606693038365954,2.5
22,1959.0,2.0,4.0,11.0,32.0,25.76,22.0,19.67849037111717,-155.5744068924043,23.8959994520967,2.5
