,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
0,1959.0,1.0,3.0,18.0,47.0,35.59,0.0,19.589247569382632,-155.24245373757392,23.507771150616616,2.5
1,1959.0,1.0,4.0,9.0,52.0,46.32,1.0,19.170708351354605,-155.65902165171124,1.9107597555711051,3.1
2,1959.0,1.0,6.0,3.0,1.0,36.63,2.0,19.640796510540408,-155.47063412794762,22.36077617305481,2.9
4,1959.0,1.0,8.0,13.0,15.0,17.51,4.0,19.284379530133787,-155.24764181271112,3.6815309588968432,2.6
5,1959.0,1.0,20.0,4.0,7.0,6.15,5.0,19.723010105094684,-155.07690837150062,5.793961219722207,2.8
6,1959.0,1.0,23.0,1.0,15.0,52.7,6.0,19.54292062181761,-155.1359418689592,38.19643327906156,2.6
7,1959.0,1.0,25.0,4.0,31.0,32.09,7.0,20.01954882579189,-155.48384667154266,3.088767348992598,2.6
9,1959.0,1.0,31.0,12.0,14.0,25.95,9.0,19.60639892028327,-155.371900869506,1.284757270844716,2.8
11,1959.0,2.0,2.0,1.0,38.0,40.51,11.0,19.79795814494676,-155.2467939812749,34.74182566510423,3.3
12,1959.0,2.0,2.0,20.0,7.0,48.23,12.0,19.10339710907889,-155.6818431885257,17.595443682179628,2.5
13,1959.0,2.0,4.0,8.0,41.0,7.85,13.0,19.69903692211023,-155.5589937291237,4.299390197215753,4.9
25,1959.0,2.0,4.0,17.0,1.0,20.6,25.0,19.462384450451367,-155.35214124308715,1.9930840102457203,2.8
31,1959.0,2.0,7.0,2.0,8.0,38.63,31.0,19.278590290295966,-155.47851769889792,20.810157792406898,2.6
33,1959.0,2.0,14.0,12.0,6.0,4.49,33.0,19.885668971641824,-155.18965593545684,35.2644082272425,2.6
34,1959.0,2.0,18.0,13.0,38.0,4.94,34.0,19.860652049457865,-155.72556518972573,30.45907263614304,2.5
35,1959.0,2.0,18.0,20.0,9.0,16.46,35.0,19.64233541923081,-155.0901771878991,27.3550226958338,2.8
36,1959.0,2.0,21.0,9.0,24.0,3.03,36.0,19.187862709357407,-155.6713515671502,17.555653776289525,2.6
37,1959.0,2.0,21.0,16.0,46.0,10.39,37.0,19.417523516507067,-155.42918446327687,30.674974358317293,2.8
38,1959.0,3.0,12.0,3.0,41.0,10.3,38.0,19.58724003256682,-155.29197418011677,16.049489996209658,2.6
41,1959.0,3.0,14.0,8.0,30.0,8.75,41.0,19.32839741270036,-155.21261488375592,34.12215567600355,2.6
42,1959.0,3.0,14.0,12.0,27.0,7.53,42.0,19.406481684758603,-155.78837624628707,31.87316877759437,2.7
43,1959.0,3.0,14.0,21.0,18.0,59.78,43.0,19.071614921573246,-155.8294364150655,11.416610571399854,3.4
46,1959.0,3.0,17.0,5.0,35.0,17.33,46.0,19.357339251987582,-155.83798951807566,32.63977883472144,3.2
63,1959.0,3.0,20.0,19.0,46.0,23.35,63.0,19.963754962579632,-155.38098801695276,20.245101532241076,2.5
68,1959.0,4.0,2.0,15.0,3.0,15.34,68.0,19.34995663897469,-154.99889673599617,28.384545073972458,3.4
69,1959.0,4.0,8.0,22.0,11.0,44.36,69.0,19.806460788164745,-155.90113370597706,23.141219392600597,3.2
70,1959.0,4.0,13.0,14.0,21.0,50.32,70.0,19.290521083788214,-155.376209798706,33.54259577653923,3.2
71,1959.0,4.0,14.0,13.0,12.0,41.91,71.0,19.20428515108928,-155.5810212471688,38.55903622507074,3.7
77,1959.0,4.0,17.0,8.0,23.0,20.89,77.0,19.075958074711387,-155.7383877144138,15.428021758394085,3.1
78,1959.0,4.0,19.0,17.0,46.0,24.86,78.0,19.12390682438063,-155.66093103396415,35.27383913843014,3.6
86,1959.0,4.0,30.0,21.0,56.0,55.08,86.0,19.90794789379921,-155.8554253299669,2.5618168652580664,2.9
87,1959.0,5.0,4.0,10.0,47.0,22.81,87.0,19.49639736678973,-154.95193410515637,6.440957950057634,2.9
88,1959.0,5.0,7.0,0.0,37.0,23.93,88.0,19.876771426592114,-155.8265463861988,20.491630857965774,3.3
90,1959.0,5.0,12.0,1.0,54.0,46.12,90.0,19.67871768178874,-155.43455550107478,36.85772754082238,3.6
95,1959.0,5.0,19.0,10.0,37.0,31.09,95.0,19.61328629189402,-155.87722762767916,38.74957950389059,2.8
97,1959.0,5.0,29.0,9.0,43.0,41.89,97.0,19.82633644248771,-155.67605700326027,19.531263604219948,2.5
100,1959.0,6.0,8.0,7.0,40.0,53.56,100.0,19.81076485510741,-155.0887119281157,18.096096980423734,2.5
102,1959.0,6.0,8.0,23.0,54.0,14.9,102.0,19.34516288419242,-155.29880648203144,35.70729927998423,2.5
103,1959.0,6.0,22.0,2.0,19.0,32.05,103.0,19.463917510345112,-155.11260286800265,35.067028566243835,2.7
104,1959.0,7.0,6.0,8.0,5.0,56.55,104.0,19.4066748733119,-155.2670989951928,21.064051115299204,2.7
107,1959.0,7.0,15.0,15.0,3.0,13.55,107.0,19.78264006072725,-155.10457463019665,30.248834680702604,2.6
108,1959.0,7.0,16.0,18.0,55.0,58.88,108.0,19.14366366634099,-155.67483532176416,8.708377981690344,2.5
109,1959.0,7.0,25.0,8.0,30.0,22.88,109.0,19.617444711703428,-155.3888638165232,40.41448046597314,3.2
110,1959.0,8.0,2.0,22.0,57.0,25.82,110.0,19.79358821394808,-155.23494957157342,6.036487309353205,2.6
111,1959.0,8.0,5.0,11.0,31.0,7.49,111.0,19.373123918462262,-155.68319421649073,7.023722109667868,2.8
