,id,latitude,longitude,time,magnitude,is_background,gen_0_parent,generation,datetime,index
0,1,19.589247569382632,-155.24245373757392,1959-01-03 18:47:35.590936000,2.5,True,1,0,1959-01-03 18:47:35.590936000,1
1,2,19.170708351354605,-155.65902165171124,1959-01-04 09:52:46.316822000,3.1,True,2,0,1959-01-04 09:52:46.316822000,2
2,3,19.640796510540408,-155.47063412794762,1959-01-06 03:01:36.629659000,2.9,True,3,0,1959-01-06 03:01:36.629659000,3
3,376,19.637720200694297,-155.4603823745735,1959-01-06 03:02:37.921131990,2.7,False,3,1,1959-01-06 03:02:37.921131990,4
4,4,19.284379530133787,-155.24764181271112,1959-01-08 13:15:17.512940000,2.6,True,4,0,1959-01-08 13:15:17.512940000,5
5,5,19.723010105094684,-155.07690837150062,1959-01-20 04:07:06.151910000,2.8,True,5,0,1959-01-20 04:07:06.151910000,6
6,6,19.54292062181761,-155.1359418689592,1959-01-23 01:15:52.699595000,2.6,True,6,0,1959-01-23 01:15:52.699595000,7
7,7,20.01954882579189,-155.48384667154266,1959-01-25 04:31:32.088953000,2.6,True,7,0,1959-01-25 04:31:32.088953000,8
8,378,20.023944721754663,-155.4648770564279,1959-01-25 20:42:31.883112607,2.6,False,7,1,1959-01-25 20:42:31.883112607,9
9,8,19.60639892028327,-155.371900869506,1959-01-31 12:14:25.947772000,2.8,True,8,0,1959-01-31 12:14:25.947772000,10
10,377,19.278878425467425,-155.2422415589974,1959-02-01 00:25:03.742266444,3.4,False,4,1,1959-02-01 00:25:03.742266444,11
11,9,19.79795814494676,-155.2467939812749,1959-02-02 01:38:40.513950000,3.3,True,9,0,1959-02-02 01:38:40.513950000,12
12,10,19.103397109078895,-155.6818431885257,1959-02-02 20:07:48.231378000,2.5,True,10,0,1959-02-02 20:07:48.231378000,13
13,11,19.69903692211023,-155.5589937291237,1959-02-04 08:41:07.853463000,4.9,True,11,0,1959-02-04 08:41:07.853463000,14
14,382,19.71542762506254,-155.5792554860362,1959-02-04 08:42:05.373597210,3.4,False,11,1,1959-02-04 08:42:05.373597210,15
15,379,19.70100058236967,-155.54963016028535,1959-02-04 08:43:44.945959606,2.8,False,11,1,1959-02-04 08:43:44.945959606,16
16,385,19.66756215815948,-155.57520564720255,1959-02-04 08:48:09.689287494,3.2,False,11,1,1959-02-04 08:48:09.689287494,17
17,384,19.67396584046181,-155.46202664202204,1959-02-04 08:50:35.216779121,2.9,False,11,1,1959-02-04 08:50:35.216779121,18
18,651,19.70502208588981,-155.59063212157812,1959-02-04 08:57:23.661153897,2.7,False,11,2,1959-02-04 08:57:23.661153897,19
19,389,19.70784107318209,-155.56043756443842,1959-02-04 09:24:13.318105897,2.5,False,11,1,1959-02-04 09:24:13.318105897,20
20,383,19.663215671192894,-155.57869896695308,1959-02-04 09:55:51.503428014,2.9,False,11,1,1959-02-04 09:55:51.503428014,21
21,654,19.667015201849107,-155.56432896310838,1959-02-04 09:56:55.146459990,2.5,False,11,2,1959-02-04 09:56:55.146459990,22
22,653,19.67849037111717,-155.5744068924043,1959-02-04 11:32:25.759613787,2.5,False,11,2,1959-02-04 11:32:25.759613787,23
23,655,19.478214827375265,-155.53361647911512,1959-02-04 12:16:38.105768704,2.8,False,11,2,1959-02-04 12:16:38.105768704,24
24,652,19.714788960918995,-155.57519844701136,1959-02-04 13:39:44.934328268,2.6,False,11,2,1959-02-04 13:39:44.934328268,25
25,12,19.462384450451367,-155.35214124308715,1959-02-04 17:01:20.601597000,2.8,True,12,0,1959-02-04 17:01:20.601597000,26
26,381,19.730376244651733,-155.51401200928638,1959-02-04 19:46:38.062809216,2.7,False,11,1,1959-02-04 19:46:38.062809216,27
27,387,19.7089337044359,-155.58912731174323,1959-02-05 07:31:00.580382203,3.0,False,11,1,1959-02-05 07:31:00.580382203,28
28,660,19.712959129408496,-155.59273417540092,1959-02-05 07:44:05.851486079,2.5,False,11,2,1959-02-05 07:44:05.851486079,29
29,391,19.7290567669384,-155.6308484622807,1959-02-06 00:32:48.750721416,2.5,False,11,1,1959-02-06 00:32:48.750721416,30
30,390,19.68063328669373,-155.53277518140385,1959-02-06 03:54:35.996731080,2.6,False,11,1,1959-02-06 03:54:35.996731080,31
31,13,19.278590290295966,-155.47851769889792,1959-02-07 02:08:38.631763000,2.6,True,13,0,1959-02-07 02:08:38.631763000,32
32,388,19.71996899231467,-155.59281377439623,1959-02-09 20:13:08.641195728,3.1,False,11,1,1959-02-09 20:13:08.641195728,33
33,14,19.885668971641824,-155.18965593545684,1959-02-14 12:06:04.493399000,2.6,True,14,0,1959-02-14 12:06:04.493399000,34
34,15,19.860652049457865,-155.72556518972573,1959-02-18 13:38:04.935954000,2.5,True,15,0,1959-02-18 13:38:04.935954000,35
35,16,19.64233541923081,-155.0901771878991,1959-02-18 20:09:16.455793000,2.8,True,16,0,1959-02-18 20:09:16.455793000,36
36,17,19.187862709357407,-155.6713515671502,1959-02-21 09:24:03.027025000,2.6,True,17,0,1959-02-21 09:24:03.027025000,37
37,18,19.417523516507067,-155.42918446327687,1959-02-21 16:46:10.391166000,2.8,True,18,0,1959-02-21 16:46:10.391166000,38
38,19,19.58724003256682,-155.29197418011677,1959-03-12 03:41:10.301072000,2.6,True,19,0,1959-03-12 03:41:10.301072000,39
39,393,19.58720277093624,-155.28645986299534,1959-03-12 19:40:37.792174678,2.6,False,19,1,1959-03-12 19:40:37.792174678,40
40,662,19.58312848872135,-155.28686043558704,1959-03-12 19:48:05.383403224,3.5,False,19,2,1959-03-12 19:48:05.383403224,41
41,20,19.32839741270036,-155.21261488375592,1959-03-14 08:30:08.745217000,2.6,True,20,0,1959-03-14 08:30:08.745217000,42
42,21,19.406481684758603,-155.78837624628707,1959-03-14 12:27:07.530891000,2.7,True,21,0,1959-03-14 12:27:07.530891000,43
43,22,19.071614921573246,-155.8294364150655,1959-03-14 21:18:59.782643000,3.4,True,22,0,1959-03-14 21:18:59.782643000,44
44,395,19.06892847834714,-155.81508695867734,1959-03-14 21:23:58.010406872,2.7,False,22,1,1959-03-14 21:23:58.010406872,45
45,397,19.06296388321237,-155.83445223323648,1959-03-14 21:31:53.627322848,2.7,False,22,1,1959-03-14 21:31:53.627322848,46
46,23,19.357339251987582,-155.83798951807566,1959-03-17 05:35:17.328359000,3.2,True,23,0,1959-03-17 05:35:17.328359000,47
