,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
0,1959.0,1.0,1.0,11.0,45.0,47.27,0.0,19.754159532899944,-155.740753880756,42.970592476605184,2.8
1,1959.0,1.0,3.0,14.0,0.0,43.01,1.0,18.98404373996223,-155.72782140257027,33.504224102261524,4.9
2,1959.0,1.0,3.0,19.0,26.0,0.96,2.0,19.389828569141663,-155.74730444664593,22.62530597146254,2.6
3,1959.0,1.0,4.0,12.0,55.0,54.73,3.0,19.811739561211446,-155.60667332001876,19.7332419567436,3.2
4,1959.0,1.0,5.0,0.0,10.0,37.53,4.0,19.82405515345112,-155.33895194589445,14.665526011216254,2.6
5,1959.0,1.0,5.0,7.0,6.0,8.35,5.0,19.547324044126217,-155.72632984464713,17.334697963427793,2.5
6,1959.0,1.0,7.0,8.0,11.0,16.04,6.0,19.15064019238189,-155.6474361593473,30.67684920323992,2.6
7,1959.0,1.0,9.0,7.0,1.0,24.06,7.0,19.66490194483653,-154.9874406773899,14.75759972936373,3.8
8,1959.0,1.0,10.0,9.0,45.0,20.3,8.0,19.3520076443784,-155.8301192565394,12.581927315067036,2.7
9,1959.0,1.0,25.0,2.0,34.0,29.11,9.0,19.59701153426229,-155.95426678027923,1.319145476018718,2.6
10,1959.0,1.0,28.0,18.0,8.0,35.17,10.0,19.264418588805263,-155.84411163475076,38.06529355197351,2.6
11,1959.0,2.0,2.0,1.0,43.0,7.24,11.0,19.762558046891424,-155.96329909494872,5.073563129902581,3.0
12,1959.0,2.0,3.0,23.0,40.0,58.35,12.0,19.574755831496173,-155.64253755854227,44.83521774718834,2.5
13,1959.0,2.0,11.0,7.0,30.0,22.42,13.0,19.837852752708923,-155.2589739961486,2.383872482966983,2.6
14,1959.0,2.0,17.0,22.0,28.0,24.76,14.0,19.99698274199563,-155.3025010282496,36.49331769353634,2.9
15,1959.0,2.0,22.0,6.0,16.0,51.32,15.0,19.83830412167338,-155.60229959694428,15.938080970032347,2.8
16,1959.0,2.0,26.0,10.0,40.0,51.76,16.0,19.63075714706152,-155.67855245751744,40.55212973286026,2.5
17,1959.0,3.0,14.0,7.0,23.0,49.3,17.0,19.61233725751295,-155.60777815760832,20.578547360209928,2.9
18,1959.0,3.0,21.0,11.0,14.0,49.1,18.0,19.56486310793941,-154.96478467542954,28.304893776293547,2.8
19,1959.0,3.0,28.0,11.0,0.0,49.44,19.0,19.669277124543456,-155.87965774592902,2.414575475732338,4.3
20,1959.0,3.0,28.0,21.0,50.0,26.01,20.0,19.445835892874435,-155.3631267198636,35.43662154940742,2.8
21,1959.0,3.0,31.0,9.0,22.0,11.46,21.0,19.761600341929626,-155.64708527680548,15.819254524397426,2.5
22,1959.0,4.0,2.0,6.0,23.0,20.45,22.0,19.70338472579319,-155.89520041015368,18.686560350572677,3.4
23,1959.0,4.0,4.0,3.0,33.0,15.91,23.0,19.361281153141658,-155.70254771932483,13.258827489418572,3.2
24,1959.0,4.0,9.0,20.0,54.0,41.28,24.0,19.709408555504613,-155.36039605200713,17.947355772920105,2.8
25,1959.0,4.0,17.0,4.0,38.0,20.95,25.0,19.663076776030817,-155.2527072871787,42.24074129347333,2.7
26,1959.0,4.0,24.0,8.0,0.0,12.54,26.0,19.75251098335349,-155.68212261957623,23.63961170200735,3.9
27,1959.0,4.0,24.0,14.0,45.0,5.97,27.0,19.572751144981662,-155.54773431333095,35.95847451057348,2.8
28,1959.0,5.0,4.0,3.0,40.0,52.53,28.0,19.698597493028057,-155.93275268965968,36.256677587651566,3.6
29,1959.0,5.0,4.0,15.0,47.0,48.03,29.0,19.5461404520578,-155.9240665010448,21.41660869598922,2.7
30,1959.0,5.0,10.0,7.0,30.0,56.26,30.0,19.93541619870992,-155.3072312301517,42.63306856535422,2.7
31,1959.0,5.0,11.0,15.0,51.0,12.33,31.0,19.82711748093009,-155.45637598537672,1.830547451597007,2.6
32,1959.0,5.0,17.0,2.0,5.0,45.71,32.0,19.539051343812712,-155.67012538809757,7.612530514876672,3.6
33,1959.0,5.0,18.0,16.0,34.0,57.36,33.0,19.69609520887332,-155.92874366893406,40.91659471326203,2.5
34,1959.0,5.0,21.0,4.0,19.0,8.4,34.0,19.10337744432572,-155.84269782053389,18.066760060977437,2.6
35,1959.0,5.0,25.0,3.0,46.0,14.46,35.0,19.747010310371586,-155.27670060260007,25.38666070835424,2.6
36,1959.0,5.0,26.0,16.0,57.0,48.67,36.0,19.96533257762461,-155.38671674002438,39.76481257292986,3.0
