# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     2.440         1         0            11
     2.850         3         0            37
     3.030         0         1            48
     2.870         0         2            80
     2.550         1         1            81
     2.910         1         0            83
     2.950         6         6            91
     3.010         1         1           103
     2.680         1         0           105
     3.060         1         5           117
     2.760         0         1           113
     2.730         1         0           122
     3.160         1         0           134
     3.270         1         0           172
     3.470         0         1           183
     2.980         1         1           190
     3.730         0         1           194
     3.590         7         1           195
     2.880         0         1           196
     4.180         1         0           202
     3.050         6         1           221
     3.290         1         0           227
     3.510        99         0           226
     2.880         2         3           253
     3.160         1         2           250
     4.180         1         0           252
     3.550         1         0           257
     3.060         2         1           260
     3.370         4         0           261
     3.000         2         0           265
     2.930         3         0           279
     3.080         1         0           288
     2.850         2         2           303
     3.010         0         3           328
     2.950         0         3           337
     3.730        52         3           368
     3.060        10         0           418
     3.850         4         0           432
     2.860         0         1           438
     3.160         0         2           454
     3.620         5         0           474
     4.110         2         0           477
     2.690         1         0           485
     3.120         1         0           489
     3.170         2         0           495
     3.410        15         4           524
     3.540         7         0           511
     3.270         1         0           521
     3.460         1         0           533
     3.210         1         2           549
     3.270         1         0           553
     3.720        10        43           639
     3.100         2         0           575
     3.250         2         0           615
     3.260         3         2           623
     3.260         5         0           635
     2.750         0         1           672
     2.670         0         1           673
     3.860         6         0           676
     2.990         1         0           686
     2.980         1         0           695
     3.090         6         3           708
     2.730         2         0           714
     2.960         0         1           734
     3.830         3         1           740
     3.350         1         0           752
     2.820         0         1           779
     2.450         0         1           787
     2.590         2         1           794
     2.680         1         0           801
     2.980         1         0           809
     3.160         1         0           823
     3.850         0         1           837
     3.450         1         0           849
     3.130         2         0           871
     3.140         1         0           873
     2.730         0         1           878
     3.300         0         1           881
     3.580         0         1           883
     3.500         4         2           887
     4.460         8         0           895
     3.760         1         0           894
     2.820         4         3           941
     2.630         1         0           948
     3.170         5         4           964
     2.570         1         0           980
     2.860         1         0           935
     3.840         0         1          1033
     3.160         1         0          1029
     2.670         1         0          1038
     2.560         0         2          1064
     2.780         3         0          1087
     2.770         2         1          1101
     2.910         1         0          1155
     3.010         1         0          1158
     4.060         2         0          1166
     2.650         1         0          1252
     3.080         1         0          1281
     4.380        11         0          1300
     3.570         2         0          1280
     4.070        10         0          1333
     3.110         1         0          1370
     3.040         1         0          1375
     3.340         0         4          1403
     4.430         1         0          1404
     4.420        17         1          1410
     3.660         1         0          1430
     4.110        14         0          1478
     3.060         0         1          1496
     3.690         1         1          1499
     2.760         0         1          1504
     3.940         1         0          1505
     3.390         1         0          1511
     2.990         1         0          1516
     4.190         3         0          1522
     3.100         0         1          1558
     2.840         0         1          1567
     4.100         2         0          1575
     4.230         1         0          1599
     3.580         8         0          1638
     4.050         1         0          1692
     3.920         3         0          1704
     4.480         4         0          1713
     3.530         1         0          1727
     3.620         2         0          1729
     4.060         8         0          1817
     2.840         2         0          1832
     3.550         1         0          1836
     2.910         0         1          1897
     4.030         2         0          1966
     6.160       104         0          2027
     3.870         1         0          2191
     4.460         1         0          2232
     3.490         1         0          2240
     3.330         2         0          2242
     2.730         1         0          2247
     2.900         0         1          2253
     3.820         1         0          2285
     3.580         1         0          2341
     4.200         1         0          2363
     2.960         1         0          2417
     4.280         0         2          2444
     2.850         0         1          2447
     3.020         1         0          2459
     3.060         0         1          2471
     2.990         0         1          2472
     2.860         1         1          2474
     3.020         1         0          2469
     2.950         1         0          2546
     3.140         1         0          2555
     4.460        20         0          2565
