year,month,day,hour,minute,sec,ID,lat,lon,depth,mag
1959.0,2.0,20.0,6.0,0.0,28.0,0.0,19.35,-155.15,5.0,4.5
1959.0,10.0,4.0,1.0,36.0,7.4,2.0,19.4396667,-154.6243333,43.38,3.06
1959.0,10.0,4.0,15.0,37.0,8.1,4.0,20.7636667,-155.6646667,11.785,4.56
1959.0,10.0,5.0,3.0,0.0,24.7,5.0,19.522,-155.6363333,-1.067,2.52
1959.0,10.0,5.0,7.0,53.0,55.0,7.0,19.4106667,-155.4908333,14.783,2.62
1959.0,10.0,7.0,10.0,41.0,45.9,8.0,19.8513333,-156.2408333,15.729,3.47
1959.0,10.0,9.0,22.0,16.0,11.8,11.0,19.2975,-155.204,-0.319,2.44
1959.0,10.0,13.0,2.0,14.0,33.8,13.0,20.0491667,-155.4813333,11.302,3.41
1959.0,10.0,14.0,16.0,36.0,7.7,14.0,19.4276667,-155.4478333,7.463,3.31
1959.0,10.0,15.0,5.0,20.0,32.1,15.0,19.4053333,-155.4435,5.663,2.57
1959.0,10.0,16.0,1.0,15.0,46.5,16.0,19.326,-154.9471667,43.698,2.61
1959.0,10.0,16.0,5.0,43.0,22.2,17.0,19.3608333,-155.455,13.503,2.77
1959.0,10.0,16.0,13.0,37.0,42.1,18.0,20.727,-156.2093333,4.66,2.45
1959.0,10.0,21.0,13.0,10.0,2.9,19.0,21.3586667,-157.6273333,7.82,3.83
1959.0,10.0,23.0,6.0,40.0,33.0,20.0,18.8481667,-155.8983333,13.596,2.69
1959.0,10.0,23.0,10.0,11.0,37.9,21.0,20.7873333,-155.4033333,14.92,2.95
1959.0,10.0,25.0,11.0,43.0,14.7,23.0,20.895,-155.4061667,8.02,2.9
1959.0,10.0,27.0,14.0,28.0,51.0,24.0,19.3173333,-155.5295,1.173,2.67
1959.0,10.0,27.0,16.0,56.0,1.7,25.0,19.9618333,-156.3068333,7.886,3.1
1959.0,10.0,29.0,15.0,59.0,48.8,26.0,19.5206667,-155.0563333,21.442,2.51
1959.0,11.0,3.0,6.0,13.0,56.5,30.0,19.3033333,-154.905,6.198,2.42
1959.0,11.0,5.0,23.0,21.0,47.3,32.0,19.5631667,-155.4626667,6.433,2.4
1959.0,11.0,6.0,13.0,7.0,54.8,33.0,19.3885,-155.3283333,13.783,2.46
1959.0,11.0,6.0,21.0,14.0,32.4,34.0,19.3103333,-155.4691667,9.223,3.27
1959.0,11.0,7.0,5.0,54.0,48.9,35.0,19.4091667,-155.2898333,12.233,2.61
1959.0,11.0,7.0,9.0,15.0,34.0,36.0,19.2271667,-155.9611667,5.793,3.05
1959.0,11.0,7.0,16.0,44.0,41.8,37.0,19.3925,-155.2718333,12.153,2.85
1959.0,11.0,9.0,17.0,10.0,4.3,41.0,19.469,-155.2608333,15.263,2.91
1959.0,11.0,10.0,10.0,11.0,18.7,43.0,19.357,-155.4468333,7.623,2.76
1959.0,11.0,11.0,17.0,22.0,53.8,44.0,19.9798333,-157.9203333,13.49,4.22
1959.0,11.0,11.0,18.0,42.0,27.2,45.0,19.5585,-155.259,28.513,2.59
1959.0,11.0,12.0,2.0,13.0,33.5,46.0,19.6211667,-155.1175,14.25,2.66
1959.0,11.0,12.0,10.0,31.0,23.3,48.0,19.1393333,-155.5591667,0.393,3.03
1959.0,11.0,13.0,4.0,4.0,36.8,49.0,19.4051667,-155.3113333,-1.121,2.98
1959.0,11.0,13.0,13.0,1.0,59.2,51.0,19.776,-155.8751667,6.99,2.87
1959.0,11.0,14.0,2.0,40.0,31.1,52.0,19.4108333,-155.1565,3.825,2.58
1959.0,11.0,16.0,12.0,40.0,16.9,54.0,19.4146667,-155.2771667,0.91,2.48
1959.0,11.0,17.0,3.0,6.0,56.9,55.0,19.4398333,-155.2256667,3.337,3.23
1959.0,11.0,17.0,16.0,38.0,15.4,56.0,19.858,-155.5551667,8.053,2.73
1959.0,11.0,17.0,21.0,51.0,32.9,57.0,20.2281667,-155.982,4.466,2.85
1959.0,11.0,22.0,0.0,11.0,38.5,58.0,19.3203333,-155.1275,12.383,3.2
1959.0,11.0,22.0,3.0,21.0,37.1,59.0,19.409,-155.257,1.913,2.52
