# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.600        10         0             6
     4.200         1         0          5262
     4.900         7         0          9337
     3.000         1         0         12509
     3.800         1         0         12506
     2.800         1         0          5257
     3.300         2         0            18
     2.600         2         0            19
     3.300         1         0            20
     3.600         0         2          9345
     3.000         1         0            30
     3.300         0         1          5272
     2.800         1         0            37
     4.100         3         0          5276
     3.400         1         1         12543
     4.100         6         0            48
     3.400         0         1          5285
     3.400         0         4          9355
     3.100         0         1          9357
     2.600         0         1         30901
     3.300         1         0            64
     4.000         3         1         20521
     3.200         1         0            70
     3.600         0         1          5293
     3.600         1         0         26490
     3.700         3         0            81
     2.900         1         0            88
     3.900         1         1          5300
     2.900         1         0          9362
     3.000         1         0            96
     2.600         1         0            97
     4.600         6         0           101
     3.300         1         0           108
     3.600         1         1          9366
     4.400         8         0         30902
     3.300         0         1         38775
     4.600         7         0           115
     4.100         3         0         42037
     3.000         1         0          5314
     4.100         2         0           117
     3.200         0         1          5331
     3.800         1         0          5321
     3.900         4         0           124
     3.600         2         0          9373
     3.200         1         0         12552
     3.300         1         0           132
     3.200         1         0           133
     3.100         1         0           135
     4.000         2         0           136
     4.300         5         0          5342
     3.500         0         1         12561
     2.700         1         0           138
     2.500         1         0          9381
     2.700         0         1          5346
     3.900         1         1         20525
     3.300         1         0          9387
     3.800         1         0           144
     4.100         2         8         30905
     2.800         1         0           150
     2.900         1         0           153
     3.100         1         0          5315
     3.500         0         1          5353
     3.400         2         0           158
     3.800         3         0           172
     3.500         1         0         20526
     4.000         2         0           175
     2.900         0         2          5368
     2.600         1         0          5357
     3.000         1         0          5367
     3.200         2         0           184
     3.200         2         0           186
     3.000         0         2         20534
     3.700         1         0          5373
     3.400         2         1          5379
     3.700         1         0          9398
     4.000         3         0           215
     3.000         0         1          5383
     3.400         2         0           221
     2.600         1         0           227
     3.700         4         3          5387
     4.800        30         0           234
     3.000         2         1          5408
     3.900         3         2         12578
     3.300         1         0           249
     3.000         3         0           253
     3.700         1         0          9477
     4.000         9         3         12624
     2.600         0         1          5416
     3.400         1         0          9489
     2.700         0         2          9490
     4.100         7         0           265
     2.600         1         0          9492
     3.100         0         2          9495
     3.400         1         0          9338
     3.700         4         2          9496
     3.200         2         0          5279
     3.500         1         0           271
     5.500        60         0          5392
     2.700         1         0          9427
     4.200         2         0           278
     2.600         1         0           279
     2.900         0         1         12601
     2.700         0         1         30913
     4.900        14         0          9347
     3.700         1         1         20515
     3.000         1         0         30914
     2.800         0         1         12596
     2.700         1         0         35173
     4.100         6         0           296
     3.900         2         0         12592
     2.700         2         0         20544
     3.300         2         0          9474
     3.100         1         0           312
     3.300         1         0           314
     2.800         1         0          5451
     4.000         1         0          5440
     3.100         2         0           320
     4.000         1         0         20560
     3.300         1         0           321
     3.400         3         0          5384
     3.500         1         0           324
     4.000         3         1         20536
     3.400         1         0           326
     3.700         1         0         12528
     3.400         2         1          9511
     4.200         5         0           329
     3.300         4         0          5463
     4.300         8         0          5466
     2.600         1         0         30919
     4.000         6         0          9523
     3.200         2         1         12637
     3.800         1         0           335
     2.800         1         0           342
     2.700         1         0           343
     4.000         2         0           349
     2.900         0         1         12623
     3.300         1         0           353
     3.100         4         0           354
     3.900         1         0          9525
     3.000         1         0          5465
     5.000        30         0           356
     3.200         1         0          5491
     3.500         0         1          5506
     3.700         1         0          5503
     3.800         3         0           359
     2.800         1         0         12661
     2.500         1         0           364
     2.800         0         4          9552
     3.200         1         0         20529
     2.600         0         1         26513
     2.900         1         0           379
     3.300         0         1          5517
     5.300        34         0           384
     3.800         4         0           388
     2.500         1         0           392
     2.900         1         0          9575
     3.500         0         1          5552
     3.400         0         3          9570
     3.300         3         0           406
     2.900         1         0          5525
     2.500         1         0           416
     2.900         0         1          5559
     3.100         1         0           422
     4.000         2         0          9555
     3.900         1         1         20583
     3.300         2         0           424
     3.700         4         0           432
     3.000         1         0          9369
     3.400         1         1          5570
     3.500         1         2          5576
     3.000         2         1          5578
     3.000         0         2          5579
     2.800         1         0           458
     3.000         1         0          5574
     3.200         1         0           462
     2.700         1         0           463
     3.200         1         0           466
     3.400         2         0           471
     3.500         1         0           478
     5.200        20         0           484
     3.000         0         1         12679
     3.000         1         0          5606
     2.600         1         0          9608
     3.300         1         0           487
     4.000         8         2         20573
     4.900        17         4         26538
     3.700         2         0           488
     2.700         1         0         26527
     2.800         1         0          9611
     2.900         0         1          9505
     3.000         1         0           493
     3.100         2         1          5619
     3.200         1         1         35179
     3.100         0         1          9596
     3.400         1         0         26525
     4.200        12         0           503
     2.500         1         0         12688
     3.400         1         0           505
     3.200         1         0          5626
     3.800         1         0           508
     3.700         1         0          5633
     5.500        21         0          5632
     3.800         1         2          5636
     4.400         1         0           518
     4.500         5         0           520
     3.300         1         1         12696
     2.600         1         1          9531
     4.100         2         0           528
     3.600         1         0          5638
     4.100         3         0           529
     4.200         5         0          9661
     4.200         4         0           539
     2.600         1         0         20600
     2.800         1         0          5662
     4.800         7         0           556
     4.500         4         0           560
     2.600         0         1          5683
     3.000         2         0          5658
     3.600         2         0          9675
     2.800         1         0          9674
     4.000         1         0          5672
     3.300         0         1          5686
     4.600        16        10          9689
     3.300         0         1         20616
     3.600         3         0         20622
     3.800         3         0         12712
     2.600         0         1         12717
     2.700         1         0           582
     3.000         1         0          9680
     3.700         3         0           588
     3.600         2         0          5693
     2.800         1         0          9691
     3.200         0         2          9696
     3.300         0         1          5698
     2.700         1         0         26547
     2.900         1         0           596
     3.600         1         1          5701
     2.800         1         0           598
     3.100         1         0          5703
     3.900         2         1         12595
     3.300         0         2         30910
     3.300         0         1         35170
     2.600         1         0         12707
     3.400         1         1          5708
     3.800         1         0         12735
     3.500         3         0          5502
     2.900         0         5         20625
     3.200         1         0           615
     3.000         1         1          9703
     4.000         2         1          5714
     3.400         1         0           627
     2.800         1         0           629
     3.200         0         1          5718
     4.200         1         0          9543
     3.600         0         1          5720
     2.700         0         1          5721
     4.500         6         0           642
     2.600         1         0           645
     3.300         1         1          5732
     2.900         1         1          5733
     3.600         4         3          5734
     3.500         2         1          5737
     2.900         1         0           662
     4.300         1         1          9719
     3.500         1         0          9718
     3.800         1         0           664
     4.400         7         0           665
     3.200         0         1          5754
     3.400         1         0           675
     3.300         0         2          5761
     2.800         0         1          5763
     4.100         2         0           685
     4.000        11         0           688
     3.800         2         1          9730
     3.700         1         1          5771
     3.000         0         1          9734
     3.000         1         0           693
     2.800         0         1          5775
     3.200         1         0           697
     4.300        10         0          9732
     3.900         7         3          9737
     2.900         0         1         12760
     3.700         2         0           713
     3.300         2         0           718
     3.400         1         0           719
     2.600         1         0          5778
     3.100         1         0           732
     2.800         1         0           733
     2.900         1         0           739
     2.700         1         0           741
     3.000         1         0           751
     3.400         0         1          5797
     3.400         1         0           762
